boot	kernel	tx_timeouts	unexpected_evt	date	hung
-11	6.17.0-35-generic	0	3	2026-07-09	no
-10	6.17.0-35-generic	0	0	2026-07-10	no
-9	6.17.0-35-generic	0	0	2026-07-12	no
-8	6.17.0-35-generic	25	2556	2026-07-12	YES
-7	6.17.0-40-generic	4	1364	2026-07-16	YES
-6	7.0.0-28-generic	0	6250	2026-07-25	no
-5	7.0.0-28-generic	28	13	2026-08-02	YES
-4	7.0.0-28-generic	0	0	2026-08-07	no
-3	7.0.0-28-generic	15	26	2026-08-07	YES
-2	7.0.0-28-generic	8	1	2026-08-08	YES
-1	7.0.0-28-generic	0	1	2026-08-08	no
0	7.0.0-28-generic	22	1527	2026-08-08	YES
TOTAL	-	102	11741	12 boots	6 of 12 hung
