boot	kernel	tx_timeouts	unexpected_evt	date	hung
-33	6.17.0-29-generic	0	2	05-31 08:28	no
-32	6.17.0-29-generic	0	4	05-31 20:38	no
-31	6.17.0-35-generic	28	0	06-07 22:53	YES
-30	6.17.0-35-generic	0	71	06-09 18:26	no
-29	6.17.0-35-generic	0	0	06-11 02:01	no
-28	6.17.0-35-generic	0	0	06-11 15:08	no
-27	6.17.0-35-generic	0	0	06-12 08:26	no
-26	6.17.0-35-generic	0	0	06-15 16:43	no
-25	6.17.0-35-generic	0	0	06-16 03:18	no
-24	6.17.0-35-generic	0	0	06-16 15:35	no
-23	6.17.0-35-generic	7	5	06-17 08:05	YES
-22	6.17.0-35-generic	17	3	06-20 08:59	YES
-21	6.17.0-35-generic	0	1235	06-22 16:33	no
-20	6.17.0-35-generic	19	3477	06-25 23:21	YES
-19	6.17.0-35-generic	0	640	06-29 04:28	no
-18	6.17.0-35-generic	13	321	06-29 08:39	YES
-17	6.17.0-35-generic	0	669	07-01 02:15	no
-16	6.17.0-35-generic	86	5162	07-01 08:35	YES
-15	6.17.0-35-generic	0	6	07-02 13:42	no
-14	6.17.0-35-generic	12	38	07-02 21:56	YES
-13	6.17.0-35-generic	0	1	07-07 22:55	no
-12	6.17.0-35-generic	0	3	07-09 08:41	no
-11	6.17.0-35-generic	0	0	07-10 15:09	no
-10	6.17.0-35-generic	0	0	07-12 14:19	no
-9	6.17.0-35-generic	25	2556	07-12 17:20	YES
-8	6.17.0-40-generic	4	1364	07-16 17:15	YES
-7	7.0.0-28-generic	0	6250	07-25 08:59	no
-6	7.0.0-28-generic	28	13	08-02 22:23	YES
-5	7.0.0-28-generic	0	0	08-07 11:54	no
-4	7.0.0-28-generic	15	26	08-07 12:52	YES
-3	7.0.0-28-generic	8	1	08-08 00:51	YES
-2	7.0.0-28-generic	0	1	08-08 06:14	no
-1	7.0.0-28-generic	25	1527	08-08 08:59	YES
0	7.0.0-28-generic	0	0	08-10 06:22	no
TOTAL	-	287	23375	34 boots	13 of 34 hung
