# Per-boot Bluetooth failure counts, all retained boots (generated by tools/bt-boots)
# 287 timeouts across 34 boots, ZERO automatic reset attempts, four kernel versions.

BOOT   KERNEL                 TIMEOUTS   UNEXPECT   WD-ACTS  DATE
-33    6.17.0-29-generic      0          2          0        05-31 08:28
-32    6.17.0-29-generic      0          4          0        05-31 20:38
-31    6.17.0-35-generic      28         0          0        06-07 22:53
-30    6.17.0-35-generic      0          71         0        06-09 18:26
-29    6.17.0-35-generic      0          0          0        06-11 02:01
-28    6.17.0-35-generic      0          0          0        06-11 15:08
-27    6.17.0-35-generic      0          0          0        06-12 08:26
-26    6.17.0-35-generic      0          0          0        06-15 16:43
-25    6.17.0-35-generic      0          0          0        06-16 03:18
-24    6.17.0-35-generic      0          0          0        06-16 15:35
-23    6.17.0-35-generic      7          5          0        06-17 08:05
-22    6.17.0-35-generic      17         3          0        06-20 08:59
-21    6.17.0-35-generic      0          1235       0        06-22 16:33
-20    6.17.0-35-generic      19         3477       0        06-25 23:21
-19    6.17.0-35-generic      0          640        0        06-29 04:28
-18    6.17.0-35-generic      13         321        0        06-29 08:39
-17    6.17.0-35-generic      0          669        0        07-01 02:15
-16    6.17.0-35-generic      86         5162       0        07-01 08:35
-15    6.17.0-35-generic      0          6          0        07-02 13:42
-14    6.17.0-35-generic      12         38         0        07-02 21:56
-13    6.17.0-35-generic      0          1          0        07-07 22:55
-12    6.17.0-35-generic      0          3          0        07-09 08:41
-11    6.17.0-35-generic      0          0          0        07-10 15:09
-10    6.17.0-35-generic      0          0          0        07-12 14:19
-9     6.17.0-35-generic      25         2556       0        07-12 17:20
-8     6.17.0-40-generic      4          1364       0        07-16 17:15
-7     7.0.0-28-generic       0          6250       0        07-25 08:59
-6     7.0.0-28-generic       28         13         0        08-02 22:23
-5     7.0.0-28-generic       0          0          0        08-07 11:54
-4     7.0.0-28-generic       15         26         0        08-07 12:52
-3     7.0.0-28-generic       8          1          0        08-08 00:51
-2     7.0.0-28-generic       0          1          0        08-08 06:14
-1     7.0.0-28-generic       25         1527       1        08-08 08:59
0      7.0.0-28-generic       0          0          0        08-10 06:22
