timestamp	trial_type	build	treatment	measurement_rev	trial	protocol	bt1_status	trial_result	duration_s	sco_sent	sco_to_timeout_s	timeouts	responds_after	usb_present	usb_lost	probes	probe_to_timeout_s	btmon_aborts	kernel	prev_shutdown	enum_at_boot	perturbed
2026-08-13T05:19:38+02:00	observational_boot	stock	autosusp=Y,power=auto,wd=off,probes=off	af508ba	1	v2	confirmed	failed	8184	1	13.746	5	no	yes	0	0	?	2	7.0.0-28-generic	poweroff	yes	none
2026-08-14T21:16:56+02:00	observational_boot	stock	CHANGED:autosusp=Y,power=auto,wd=off,probes=off->autosusp=Y,power=?,wd=off,probes=off	0f762da..d62e9d5	2	v2	confirmed	failed	10117	3	7.574	17	no	no	1	0	?	0	7.0.0-28-generic	poweroff	yes	none
2026-08-15T21:40:46+02:00	observational_boot	stock	autosusp=Y,power=auto,wd=off,probes=off	adc1cee	3	v2	confirmed	failed	7307	3	16.214	8	no	no	1	0	?	0	7.0.0-28-generic	reboot	yes	none
2026-08-16T18:57:33+02:00	observational_boot	stock	autosusp=?,power=?,wd=off,probes=off	1f97aba..5f6638c	4	v2	not_observed	failed	552	0	?	0	no	no	0	0	?	0	7.0.0-28-generic	reboot	no	none
2026-08-19T18:38:53+02:00	observational_boot	stock	autosusp=Y,power=auto,wd=off,probes=off	9b3d750..068eebf	5	v2	not_observed	failed	199222	0	?	0	no	yes	2	0	?	36	7.0.0-28-generic	unknown	yes	none
2026-08-19T18:49:02+02:00	observational_boot	stock	autosusp=N,power=on,wd=off,probes=off	068eebf	6	v2	not_observed	failed	569	0	?	0	no	yes	0	0	?	0	7.0.0-29-generic	reboot	yes	none
2026-08-22T12:23:10+02:00	observational_boot	stock	autosusp=?,power=?,wd=off,probes=off	a514c2f..5e94b0b	7	v2	not_observed	failed	2499	0	?	0	no	no	0	0	?	0	7.0.0-30-generic	reboot	no	none
2026-08-28T09:07:05+02:00	observational_boot	stock	PERTURBED:usb_reset:autosusp=N,power=on,wd=off,probes=off	e0633c3	8	v2	not_observed	failed	137629	0	?	0	no	yes	4	0	?	13	7.0.0-30-generic	poweroff	yes	usb_reset
2026-09-03T12:33:45+02:00	observational_boot	stock	autosusp=N,power=on,wd=off,probes=off	65cf8b3	9	v2	not_observed	failed	190	0	?	0	no	yes	0	0	?	0	7.0.0-30-generic	unknown	yes	none
2026-09-07T18:18:36+02:00	observational_boot	stock	autosusp=N,power=on,wd=off,probes=off	65cf8b3	10	v2	not_observed	failed	109120	0	?	0	no	yes	0	0	?	0	7.0.0-30-generic	poweroff	yes	none
2026-09-10T11:15:11+02:00	observational_boot	stock	PERTURBED:usb_reset:autosusp=N,power=on,wd=off,probes=off	65cf8b3	11	v2	not_observed	failed	68881	0	?	0	no	yes	11	0	?	7	7.0.0-31-generic	unknown	yes	usb_reset
2026-09-11T23:27:36+02:00	observational_boot	stock	autosusp=N,power=on,wd=off,probes=off	65cf8b3	12	v2	not_observed	failed	126717	0	?	0	no	yes	0	0	?	20	7.0.0-31-generic	poweroff	yes	none
2026-09-20T14:51:23+02:00	observational_boot	stock	autosusp=Y,power=auto,wd=off,probes=off	000977a..af4d34a	13	v2	not_observed	failed	90818	0	?	0	no	yes	0	0	?	3	7.0.0-31-generic	unknown	yes	none
2026-09-26T15:37:49+02:00	observational_boot	stock	autosusp=Y,power=auto,wd=off,probes=off	947bf84..1ed2fea	14	v2	confirmed	failed	71903	2	9.421	6	no	yes	0	0	?	2	7.0.0-34-generic	poweroff	yes	none
